CustomerID,Recency,Frequency,Monetary,Cluster,Churn
12347.0,96,5,2540.29,0,1
12348.0,221,1,367.0,1,1
12350.0,312,1,334.4,1,1
12352.0,275,3,1296.38,1,1
12355.0,97,1,459.4,0,1
12356.0,129,1,481.46000000000004,0,1
12357.0,183,1,6207.67,0,1
12358.0,4,2,1168.06,0,0
12359.0,10,3,3495.73,0,0
12362.0,31,5,2135.79,0,0
12363.0,37,1,299.1,0,0
12364.0,302,1,310.32,1,1
12367.0,213,1,168.9,1,1
12370.0,69,1,938.39,0,0
12371.0,31,1,1527.96,0,0
12372.0,36,1,515.7,0,0
12373.0,343,1,364.6,1,1
12375.0,305,1,230.3,1,1
12378.0,306,1,4008.62,1,1
12380.0,158,1,607.5500000000001,0,1
12381.0,1,5,1845.31,0,0
12383.0,10,2,750.61,0,0
12384.0,30,2,585.27,0,0
12386.0,193,2,401.9,0,1
12388.0,99,2,334.95000000000005,0,1
12393.0,40,2,884.1,0,0
12394.0,154,2,1272.48,0,1
12395.0,6,7,1762.63,0,0
12397.0,244,1,1195.09,1,1
12399.0,3,3,820.6,0,0
12401.0,100,1,84.3,0,1
12406.0,96,1,1621.25,0,1
12407.0,187,1,719.06,0,1
12408.0,153,2,1396.78,0,1
12409.0,66,1,6207.08,0,0
12410.0,253,2,693.3299999999999,1,1
12413.0,193,2,673.45,0,1
12414.0,189,2,319.61,0,1
12415.0,71,10,44582.79,2,0
12417.0,182,4,1572.48,0,1
12420.0,154,1,600.39,0,1
12422.0,216,1,147.7,1,1
12423.0,90,3,548.92,0,0
12427.0,62,2,586.08,0,0
12428.0,33,6,6580.52,0,0
12429.0,455,1,1281.5,1,1
12431.0,3,7,3328.65,0,0
12433.0,90,5,9033.92,0,0
12436.0,336,1,509.01,1,1
12437.0,10,7,2040.81,0,0
12441.0,486,1,173.55,1,1
12442.0,182,1,172.06,0,1
12444.0,1,2,1636.08,0,0
12447.0,68,1,476.49,0,0
12449.0,93,3,2724.58,0,1
12450.0,187,1,96.0,0,1
12451.0,215,2,4927.87,1,1
12455.0,187,3,477.46000000000004,0,1
12457.0,245,1,196.35,1,1
12461.0,126,2,826.88,0,1
12462.0,100,1,762.11,0,1
12463.0,7,1,350.57,0,0
12464.0,284,1,213.89999999999998,1,1
12468.0,219,1,508.95000000000005,1,1
12471.0,152,12,10309.97,0,1
12472.0,153,2,1899.38,0,1
12473.0,61,3,1726.51,0,0
12474.0,4,3,1179.64,0,0
12476.0,220,1,311.2,1,1
12477.0,39,2,3415.19,0,0
12478.0,182,1,680.99,0,1
12480.0,30,2,1952.93,0,0
12481.0,163,3,2070.23,0,1
12483.0,36,4,1185.46,0,0
12484.0,153,3,2017.24,0,1
12489.0,163,1,334.93,0,1
12490.0,97,4,2463.06,0,1
12491.0,334,1,460.40000000000003,1,1
12492.0,154,1,136.82,0,1
12494.0,338,2,210.82,1,1
12500.0,71,3,745.03,0,0
12501.0,163,1,2169.39,0,1
12502.0,189,4,3021.07,0,1
12504.0,91,1,449.4,0,1
12507.0,157,1,46.75,0,1
12508.0,61,1,275.19,0,0
12512.0,245,2,138.03,1,1
12516.0,5,1,583.2,0,0
12517.0,30,4,2085.64,0,0
12518.0,1,3,1207.16,0,0
12519.0,154,1,340.84,0,1
12520.0,38,1,987.42,0,0
12523.0,10,3,398.7,0,0
12524.0,71,4,2962.6,0,0
12526.0,90,2,797.38,0,0
12528.0,130,2,552.64,0,1
12530.0,31,3,1244.68,0,0
12532.0,91,1,349.83000000000004,0,1
12534.0,337,1,1089.18,1,1
12535.0,93,2,716.35,0,1
12536.0,31,1,4279.71,0,0
12538.0,61,1,363.95,0,0
12539.0,71,1,1715.85,0,0
12540.0,40,8,5047.38,0,0
12541.0,61,2,757.44,0,0
12544.0,275,1,372.7,1,1
12547.0,252,1,159.4,1,1
12552.0,334,1,120.0,1,1
12553.0,1,4,1356.57,0,0
12556.0,34,1,312.9,0,0
12557.0,40,3,8183.46,0,0
12558.0,302,1,269.96,1,1
12559.0,312,1,75.60000000000001,1,1
12560.0,243,1,697.7,1,1
12561.0,70,1,238.85,0,0
12562.0,217,2,1304.3700000000001,1,1
12567.0,127,6,4643.61,0,1
12569.0,1,18,2534.95,2,0
12571.0,64,1,248.35,0,0
12572.0,333,1,487.68,1,1
12576.0,131,4,1076.6299999999999,0,1
12577.0,244,2,461.91,1,1
12580.0,160,1,415.7,0,1
12583.0,1,9,5152.96,0,0
12584.0,158,4,835.94,0,1
12587.0,302,1,144.0,1,1
12589.0,30,1,515.1800000000001,0,0
12590.0,6,2,9864.26,0,0
12592.0,67,2,437.6,0,0
12593.0,220,2,321.8,1,1
12594.0,64,3,850.83,0,0
12596.0,37,1,269.95,0,0
12597.0,96,1,912.66,0,1
12598.0,30,4,1200.32,0,0
12599.0,34,4,636.3,0,0
12600.0,30,3,884.02,0,0
12601.0,40,3,325.46,0,0
12602.0,1,1,153.12,0,0
12607.0,62,1,1579.51,0,0
12609.0,188,1,512.8,0,1
12610.0,217,1,946.75,1,1
12614.0,161,1,315.6,0,1
12615.0,152,2,1079.8,0,1
